Zipcode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean,Max,PopDensity,Area,InstalledCapacity,Average Price per Plot Size Unit,Potential Capacity,Difference in Capacity,Land required,Total Cost
91384,8.9,8.4,8.2,8.2,7.5,6.8,6.1,5.8,6,7,8.2,9.1,7.516666667,9.1,159.31,194.17,0,22802022400,208.1530369,208.1530369,0.3252391201,7686708650
91390,8.8,8.2,7.9,7.8,7,6.4,5.8,5.5,5.6,6.6,8,8.9,7.208333333,8.9,136.45,158.92,0,53329920000,170.3645291,170.3645291,0.2661945768,14417609371
91901,7.6,7.7,7.8,8.3,8.3,7.8,6.9,6.3,6.3,6.5,7.1,7.7,7.358333333,8.3,186.74,98.71,0,960787660800,105.8185418,105.8185418,0.1653414716,158995609867
91934,7.8,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7.1,8,7.025,8,30.82,24.92,0,10240000000,26.71459895,26.71459895,0.04174156087,462162561.9
91935,7.8,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7.1,8,7.025,8,76.01,125.1,0,239894937600,134.109002,134.109002,0.2095453156,50443202109
91962,7.8,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7.1,8,7.025,8,18.07,115.57,0,1012121600,123.8927047,123.8927047,0.1935823511,356989395
91963,7.8,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7.1,8,7.025,8,26.44,44.71,0,8201830400,47.92976401,47.92976401,0.07489025627,676545873.8
91980,8.8,8.2,7.9,7.8,7,6.4,5.8,5.5,5.6,6.6,8,8.9,7.208333333,8.9,7.23,19.78,0,404945305600,21.20444492,21.20444492,0.03313194518,13444191445
92004,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,5.66,743.03,0,92835840000,796.5388628,796.5388628,1.244591973,116578241803
92036,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,8.98,422.39,0,4021043200,452.8081642,452.8081642,0.7075127566,3433589972
92061,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,77.66,37.25,0,51818905600,39.93253656,39.93253656,0.06239458837,3285131582
92065,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,247.72,152.48,0,1099057971200,163.4607564,163.4607564,0.2554074318,280920072823
92066,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,8.9,68.35,0,1228800000,73.27218453,73.27218453,0.1144877883,235936434.2
92070,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,8.36,147.57,0,42956800000,158.1971656,158.1971656,0.2471830713,10823850073
92082,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,156.95,132.81,0,58483507200,142.374233,142.374233,0.2224597391,13195312257
92086,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,7.68,192.22,0,57749504000,206.0626088,206.0626088,0.3219728262,18861652408
92091,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,234.65,6.35,0,19219692339200,6.807291467,6.807291467,0.01063639292,204437048947
92220,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,238.92,141.48,0,623063040000,151.6685979,151.6685979,0.2369821842,147852009317
92227,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,70.79,393.36,0,581772902400,421.6875861,421.6875861,0.6588868532,383870710811
92230,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,157.81,19.15,8.05,64185139200,20.52907584,12.47907584,0.019498556,1267740330
92239,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,0.09,3582.68,0,10240000000,3840.684566,3840.684566,6.001069634,66443842989
92250,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,61.54,133.94,0,893991321600,143.5856093,143.5856093,0.2243525145,200755862271
92251,6.6,7.1,8.1,9.2,9.6,9.1,7.9,7.2,7.3,7.2,6.9,6.6,7.733333333,9.6,159.4,125.48,0,63001395200,134.5163674,134.5163674,0.2101818241,13416619444
92252,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,96.5,101.29,0,320035635200,108.584339,108.584339,0.1696630297,54439375120
92254,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,91.12,154.76,0,8070758400,165.9049492,165.9049492,0.2592264831,2307830750
92274,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,25.9,1030.44,0,193405747200,1104.646523,1104.646523,1.726010192,335256331291
92277,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,26.2,1074.11,0,259540582400,1151.461392,1151.461392,1.799158425,468451525165
92284,6.9,7.3,7.9,8.7,8.6,8.3,7.2,6.4,6.4,6.6,6.7,6.9,7.325,8.7,152.87,173.48,0,469181644800,185.9730589,185.9730589,0.2905829045,136577930039
92301,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,131.11,273.84,0,535918182400,293.5604245,293.5604245,0.4586881632,246200955274
92305,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,3.9,109.57,0,19419545600,117.4606183,117.4606183,0.1835322161,3716811042
92307,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,189.79,211.46,3,109210828800,226.6881659,223.6881659,0.3495127593,38461372730
92309,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,0.3,2731.33,0,191243059200,2928.025103,2928.025103,4.575039223,878750929619
92311,7.6,7.8,8.1,8.6,8.7,8.3,7.4,6.7,6.6,6.7,7.2,7.7,7.616666667,8.7,78.45,421.3,1.5,500215398400,451.6396685,450.1396685,0.7033432321,352408296603
